ticker,t,ARR,Status,IPO Date
API,-8,32,Public,Yes
API,-7,42,Public,Yes
API,-6,50,Public,Yes
API,-5,49,Public,Yes
API,-4,53,Public,Yes
API,-3,59,Public,Yes
API,-2,68,Public,Yes
API,-1,76,Public,Yes
API,0,142,Public,Yes
API,1,135,Public,Yes
SNOW,-7,114,Public,Yes
SNOW,-6,146,Public,Yes
SNOW,-5,174,Public,Yes
SNOW,-4,241,Public,Yes
SNOW,-3,292,Public,Yes
SNOW,-2,350,Public,Yes
SNOW,-1,435,Public,Yes
SNOW,0,532,Public,Yes
SNOW,1,638,Public,Yes
SNOW,2,713,Public,Yes
WDAY,-5,64,Public,No
WDAY,-4,78,Public,No
WDAY,-3,95,Public,No
WDAY,-2,116,Public,No
WDAY,-1,147,Public,No
WDAY,0,168,Public,No
WDAY,1,206,Public,No
WDAY,2,240,Public,No
WDAY,3,273,Public,No
WDAY,4,324,Public,No
WDAY,5,375,Public,No
WDAY,6,442,Public,No
WDAY,7,493,Public,No
WDAY,8,574,Public,No
WDAY,9,657,Public,No
WDAY,10,727,Public,No
WDAY,11,803,Public,No
WDAY,12,894,Public,No
WDAY,13,970,Public,No
WDAY,14,1047,Public,No
WDAY,15,1120,Public,No
WDAY,16,1224,Public,No
WDAY,17,1351,Public,No
WDAY,18,1466,Public,No
WDAY,19,1598,Public,No
WDAY,20,1738,Public,No
WDAY,21,1854,Public,No
WDAY,22,1960,Public,No
WDAY,23,2088,Public,No
WDAY,24,2262,Public,No
WDAY,25,2497,Public,No
WDAY,26,2694,Public,No
WDAY,27,2804,Public,No
WDAY,28,3028,Public,No
WDAY,29,3194,Public,No
WDAY,30,3358,Public,No
WDAY,31,3527,Public,No
WDAY,32,3726,Public,No
ZM,-7,107,Public,Yes
ZM,-6,131,Public,Yes
ZM,-5,163,Public,Yes
ZM,-4,203,Public,Yes
ZM,-3,240,Public,Yes
ZM,-2,298,Public,Yes
ZM,-1,360,Public,Yes
ZM,0,423,Public,Yes
ZM,1,487,Public,Yes
ZM,2,583,Public,Yes
ZM,3,666,Public,Yes
ZM,4,753,Public,Yes
ZM,5,1312,Public,Yes
ZM,6,2654,Public,Yes
CRWD,-5,141,Public,Yes
CRWD,-4,170,Public,Yes
CRWD,-3,208,Public,Yes
CRWD,-2,254,Public,Yes
CRWD,-1,312,Public,Yes
CRWD,0,364,Public,Yes
CRWD,1,423,Public,Yes
